# Ima C. Effdeer
# Colorful Fluid Dynamics, Inc.
# i.c.e@cfdtillithurts.com,  (911) 911-9111
# Provided structured 3D grid number 1, 7-zone, 4.09 million grid points total
# 8 time steps per cycle (way too few!) 
# Code: CFL9D: upwind-biased, finite-volume, structured, RANS
# globally 2nd order in space, 2nd order in time
# Spalart-Allmaras turb model
# other info
variables="phase, deg","x, mm","y, mm","z, mm","u/Uinf","v/Uinf","w/Uinf"
zone t="x=50.63mm, y=0mm, z=0.4mm"
  0.   50.63   0.0   0.4   0.1234   0.0000   0.9678
 45.   50.63   0.0   0.4   0.2234   0.0000   0.8678
 90.   50.63   0.0   0.4   0.3234   0.0000   0.7678
135.   50.63   0.0   0.4   0.4234   0.0000   0.6678
180.   50.63   0.0   0.4   0.5234   0.0000   0.5678
225.   50.63   0.0   0.4   0.6234   0.0000   0.4678
270.   50.63   0.0   0.4   0.7234   0.0000   0.3678
315.   50.63   0.0   0.4   0.8234   0.0000   0.2678
zone t="x=57.15mm, y=0mm, z=10mm"
  0.   57.15   0.0  10.0   0.1234   0.0000   0.9678
 45.   57.15   0.0  10.0   0.2234   0.0000   0.8678
 90.   57.15   0.0  10.0   0.3234   0.0000   0.7678
135.   57.15   0.0  10.0   0.4234   0.0000   0.6678
180.   57.15   0.0  10.0   0.5234   0.0000   0.5678
225.   57.15   0.0  10.0   0.6234   0.0000   0.4678
270.   57.15   0.0  10.0   0.7234   0.0000   0.3678
315.   57.15   0.0  10.0   0.8234   0.0000   0.2678
zone t="x=63.5mm, y=0mm, z=10mm"
  0.   63.50   0.0  10.0   0.1234   0.0000   0.9678
 45.   63.50   0.0  10.0   0.2234   0.0000   0.8678
 90.   63.50   0.0  10.0   0.3234   0.0000   0.7678
135.   63.50   0.0  10.0   0.4234   0.0000   0.6678
180.   63.50   0.0  10.0   0.5234   0.0000   0.5678
225.   63.50   0.0  10.0   0.6234   0.0000   0.4678
270.   63.50   0.0  10.0   0.7234   0.0000   0.3678
315.   63.50   0.0  10.0   0.8234   0.0000   0.2678
